,avg_block_size,avg_trx_cost,confirmation_time,difficulty,hash_rate,market_cap,price_usd,total_block_size,total_miner_revenue,total_supply,total_trx_fees,trade_volume,transactions,trx_cost_percent,trx_per_block,trx_volume,unique_addresses
2015-01-01,0.184772240964,22.262785136399998,7.15,40640955016.6,335365.290092,4317110682.5,315.7,27835.0,1312680.6,13674725.0,8.00307587,5553875.016,58963.0,5.24472107894,555.0,79280.0,116012.0
2015-01-02,0.25239609375,17.5507586455,6.93333333333,40640955016.6,323243.653101,4324528908.75,316.15,27875.0,1267761.5,13678725.0,10.72769484,6440895.954,72234.0,4.47731193022,627.0,89563.0,168563.0
2015-01-03,0.28905198170699997,15.0048125121,6.43333333333,40640955016.6,331324.744428,4136728482.25,302.33,27922.0,1242878.63,13682825.0,11.90608788,29383119.753000002,82832.0,2.277048877,734.0,180541.0,207571.0
2015-01-04,0.29603642771099997,13.202969498699998,8.03333333333,40640955016.6,335365.290092,3708212136.75,270.93,27971.0,1129778.1,13686975.0,20.28810703,53104792.2513,85570.0,1.3760657589200003,692.0,303038.0,206228.0
2015-01-05,0.320334291667,12.4474822139,6.81666666667,40640955016.6,339405.835756,3789717240.0,276.8,28024.0,1166988.8,13691175.0,16.96708357,31326721.7,93753.0,1.8631924023,751.0,226278.0,193982.0
2015-01-06,0.31432045859900004,12.5030013768,7.63333333333,40640955016.6,317182.83460500004,3790803680.0,276.8,28073.0,1089761.6,13695100.0,12.85666757,22161280.1128,87160.0,1.9297223161900001,639.0,204019.0,179154.0
2015-01-07,0.34561327026999994,11.0616325125,7.43333333333,40640955016.6,299000.379118,3791827840.0,276.8,28124.0,1027758.4,13698800.0,13.40521434,,92912.0,1.44844673743,598.0,256344.0,180992.0
2015-01-08,0.39052572592600004,9.46346266368,9.71666666667,40640955016.6,272736.832304,3792762040.0,276.8,28176.0,938075.2,13702175.0,14.45388694,16844821.0141,99126.0,1.82091455184,943.0,186115.0,186319.0
2015-01-09,0.38883451315800005,10.0395281862,7.466666666669999,40640955016.6,307081.470446,3793813880.0,276.8,28235.0,1056268.8,13705975.0,16.14480781,16411870.6472,105211.0,1.3529243812,691.0,282056.0,201458.0
2015-01-10,0.418209836879,9.293356626849999,8.61666666667,40640955016.6,284858.46929499996,3811241000.0,278.0,28293.0,984120.0,13709500.0,15.44061914,12735227.8125,105895.0,1.42434707814,833.0,248535.0,251092.0
2015-01-11,0.352806986395,10.6892541269,8.9,40640955016.6,296980.106286,3733411893.75,272.25,28344.0,1004330.25,13713175.0,14.29837347,12162899.0709,93957.0,2.5260333743200003,755.0,146039.0,209755.0
2015-01-12,0.342448439024,11.362631766600002,7.1,43971662056.1,358478.281007,3703664250.0,270.0,28400.0,1115640.0,13717275.0,32.63994364,12816791.9462,98185.0,2.17906497131,655.0,189623.0,185802.0
